GEN,Anzahl,KW
Alb-Donau-Kreis,47,61525
Altenburger Land,63,110500
Altmarkkreis Salzwedel,140,268944
Amberg-Sulzbach,25,65400
Ammerland,40,53299
Anhalt-Bitterfeld,215,383736
Ansbach,2,4800
Bamberg,38,90700
BergstraÁEe,10,33750
Berlin,5,12370
Bielefeld,7,16800
Borken,330,577327
Bottrop,10,13080
Bremerhaven,22,59090
Burgenlandkreis,268,519983
Böblingen,2,220
Börde,381,622007
Calw,15,28750
Cham,2,850
Chemnitz,10,13601
Cloppenburg,239,408382
Coesfeld,98,179020
Darmstadt-Dieburg,13,25300
Delmenhorst,3,5000
Dessau-RoÁElau,6,11000
Dingolfing-Landau,2,1500
Donnersbergkreis,101,270971
Dortmund,6,9500
Düren,179,353066
Düsseldorf,1,75
Eichsfeld,55,96275
Eichstätt,47,113354
Eifelkreis Bitburg-Prüm,313,498268
Eisenach,18,41250
Emden,93,176662
Emmendingen,14,27050
Ennepe-Ruhr-Kreis,11,6650
Enzkreis,11,33000
Erfurt,19,28400
Erzgebirgskreis,79,71358
Esslingen,3,9900
Euskirchen,135,224584
Frankfurt (Oder),5,5600
Freiburg im Breisgau,6,10800
Freudenstadt,12,18550
Fulda,17,42230
Fürstenfeldbruck,2,6100
Gelsenkirchen,2,4600
Gera,1,2350
GieÁEen,13,26650
Göppingen,50,98901
Gütersloh,40,73078
Hagen,10,12700
Hamburg,69,117470
Hameln-Pyrmont,80,158710
Hamm,10,12900
Herford,22,21117
Hersfeld-Rotenburg,55,118700
Hochsauerlandkreis,138,283791
Hochtaunuskreis,13,33480
Hohenlohekreis,14,33000
Höxter,190,233357
Ilm-Kreis,11,12400
Jerichower Land,150,279001
Kaiserslautern,3,9000
Karlsruhe,4,3220
Kassel,159,253026
Kaufbeuren,2,6600
Kleve,212,339483
Konstanz,3,9900
Krefeld,5,3750
Dithmarschen,1224,2035843
Heinsberg,164,268406
Herzogtum Lauenburg,82,128155
Nordfriesland,1118,2413278
Ostholstein,373,575651
Pinneberg,6,7800
Plön,45,44885
Rendsburg-Eckernförde,171,401346
Schleswig-Flensburg,552,1063474
Segeberg,75,160666
Steinburg,265,535530
Stormarn,28,34971
Brandenburg an der Havel,2,3000
Braunschweig,5,7100
Bremen,66,114265
Cottbus,26,52000
Kiel,1,75
Landau in der Pfalz,1,200
Leipzig,11,14910
München,2,5000
Rostock,11,8300
Suhl,1,2500
Kyffhäuserkreis,105,208401
Köln,1,30
Lahn-Dill-Kreis,62,123650
Landeshauptstadt Magdeburg,7,20280
Ahrweiler,17,23817
Aichach-Friedberg,14,34800
Altenkirchen,27,30900
Alzey-Worms,164,385074
Ansbach,66,139851
Augsburg,2,4700
Aurich,702,1098742
Bad Dürkheim,16,34660
Bad Kissingen,37,105148
Bad Kreuznach,75,189272
Barnim,155,314995
Bautzen,81,125905
Bayreuth,41,105952
Bernkastel-Wittlich,73,208650
Biberach,4,11250
Birkenfeld,70,152850
Breisgau-Hochschwarzwald,5,9950
Celle,72,113579
Coburg,12,26350
Cochem-Zell,75,125000
Cuxhaven,524,794809
Dachau,9,22100
Dahme-Spreewald,307,625088
Diepholz,415,757210
Dillingen an der Donau,12,27200
Donau-Ries,5,10550
Ebersberg,1,2300
Elbe-Elster,339,651622
Emsland,558,1179886
Erlangen-Höchstadt,13,35300
Forchheim,1,1500
Freising,2,5300
Friesland,183,264300
Fürth,23,51682
Germersheim,33,86900
Gifhorn,92,180046
Goslar,17,24484
Gotha,103,224096
Grafschaft Bentheim,103,211160
Greiz,31,44955
Görlitz,131,208071
Göttingen,71,114711
Günzburg,8,19200
Harburg,80,144231
Harz,147,254609
Havelland,204,366325
HaÁEberge,17,38650
Heidekreis,182,367518
Heidenheim,48,115470
Heilbronn,20,57700
Helmstedt,83,146651
Hildburghausen,5,14452
Hildesheim,89,145600
Hof,103,231847
Holzminden,37,47956
Kaiserslautern,21,43250
Kelheim,5,5450
Kitzingen,15,27650
Kronach,11,18649
Kulmbach,44,102700
Kusel,62,134300
Landsberg am Lech,6,16000
Leer,159,266661
Leipzig,91,128061
Lichtenfels,1,2500
Lörrach,10,28900
Lüneburg,114,244950
Mainz-Bingen,55,104850
Mayen-Koblenz,22,57900
MeiÁEen,91,166920
Miltenberg,14,30100
Mittelsachsen,199,262186
Märkisch-Oderland,337,658444
Mühldorf am Inn,1,0
Neumarkt in der Oberpfalz,68,159120
Neustadt an der Aisch-Bad Windsheim,62,146556
Neustadt an der Waldnaab,4,5037
Nienburg/Weser,221,327347
Nordhausen,42,87579
Nordsachsen,104,136860
Oberallgäu,13,21700
Oberhavel,85,159462
Oberspreewald-Lausitz,179,456983
Oder-Spree,109,182023
Oldenburg,146,307960
Osnabrück,222,475766
Ostallgäu,25,49130
Osterholz,78,134216
Ostprignitz-Ruppin,300,379440
Passau,1,600
Pfaffenhofen an der Ilm,12,29152
Potsdam-Mittelmark,153,274480
Prignitz,649,1115110
Ravensburg,2,2600
Regen,6,8080
Regensburg,10,23800
Rhön-Grabfeld,14,47200
Rostock,354,751748
Roth,9,24150
Rottal-Inn,5,2115
Schaumburg,43,42037
Schmalkalden-Meiningen,2,1200
Schwandorf,11,30000
Schweinfurt,38,87601
Sigmaringen,7,12850
Spree-NeiÁEe,110,227250
Stade,245,482910
Stendal,493,1035316
Straubing-Bogen,3,6950
Sächsische Schweiz,57,46245
Sömmerda,112,231303
Südliche WeinstraÁEe,15,30180
Teltow-Fläming,433,864798
Tirschenreuth,16,20635
Traunstein,7,5930
Trier-Saarburg,84,132955
Tuttlingen,15,29400
Uckermark,621,1293359
Unterallgäu,21,15810
Verden,108,193524
Waldeck-Frankenberg,165,251945
Waldshut,3,1580
Weilheim-Schongau,1,600
WeiÁEenburg-Gunzenhausen,60,129490
Wittenberg,190,282210
Wittmund,284,453561
Wolfenbüttel,59,103725
Würzburg,73,151300
Landshut,6,14430
Limburg-Weilburg,41,99689
Lippe,131,182303
Ludwigsburg,2,2005
Ludwigslust-Parchim,323,620555
Lübeck,7,6466
Lüchow-Dannenberg,72,112001
Main-Kinzig-Kreis,113,264048
Main-Spessart,56,115650
Main-Tauber-Kreis,148,277398
Mainz,8,11200
Mansfeld-Südharz,252,396518
Marburg-Biedenkopf,91,213900
Mecklenburgische Seenplatte,333,682193
Merzig-Wadern,66,162926
Mettmann,13,10895
Minden-Lübbecke,91,80189
Märkischer Kreis,32,39610
Mönchengladbach,14,28500
Mülheim an der Ruhr,1,2300
Münster,29,51950
Neckar-Odenwald-Kreis,38,91830
Neuburg-Schrobenhausen,3,4550
Neunkirchen,30,71813
Nordwestmecklenburg,170,250779
Northeim,38,51400
Nürnberger Land,6,15800
Oberbergischer Kreis,26,27248
Odenwaldkreis,16,41200
Oldenburg (Oldenburg),2,5550
Olpe,24,27800
Ortenaukreis,43,100552
Osnabrück,11,8440
Ostalbkreis,84,206564
Paderborn,580,1032360
Peine,96,189954
Recklinghausen,68,120850
Regensburg,2,1500
Region Hannover,277,397631
Regionalverband Saarbrücken,2,6000
Rems-Murr-Kreis,1,1000
Remscheid,1,1500
Reutlingen,5,3005
Rhein-Erft-Kreis,91,196675
Rhein-Hunsrück-Kreis,281,720116
Rhein-Neuss,51,98101
Rhein-Lahn-Kreis,15,11060
Rhein-Neckar-Kreis,5,15000
Rhein-Pfalz-Kreis,17,36150
Rhein-Sieg-Kreis,5,4700
Rheingau-Taunus-Kreis,34,64075
Rheinisch-Bergischer Kreis,2,255
Rotenburg (Wümme),183,268219
Rottweil,21,27190
Saale-Holzland-Kreis,75,120686
Saale-Orla-Kreis,31,52185
Saalekreis,251,451628
Saalfeld-Rudolstadt,2,1200
Saarlouis,19,56900
Saarpfalz-Kreis,8,16000
Salzgitter,65,134030
Salzlandkreis,432,801222
Schwalm-Eder-Kreis,40,78253
Schwarzwald-Baar-Kreis,20,23275
Schwäbisch Hall,100,287396
Siegen-Wittgenstein,34,73975
Soest,299,274833
St. Wendel,97,190195
Starnberg,5,12200
Steinfurt,276,517911
Stuttgart,1,500
Städteregion Aachen,121,239682
Südwestpfalz,74,167660
Trier,1,50
Uelzen,121,216705
Ulm,1,2000
Unna,54,55920
Unstrut-Hainich-Kreis,94,180770
Vechta,77,128225
Viersen,47,70760
Vogelsbergkreis,269,461190
Vogtlandkreis,23,38180
Vorpommern-Greifswald,432,713098
Vorpommern-Rügen,324,488419
Vulkaneifel,95,157627
Warendorf,197,319344
Wartburgkreis,60,94070
Weimarer Land,72,129750
Werra-MeiÁEner-Kreis,29,77050
Wesel,75,130217
Wesermarsch,202,413125
Westerwaldkreis,105,130219
Wetteraukreis,33,55200
Wilhelmshaven,39,94425
Wolfsburg,8,5200
Worms,12,28500
Wunsiedel i.Fichtelgebirge,37,81691
Zollernalbkreis,3,1800
Zweibrücken,1,10
Zwickau,54,91982
